Title,Source Query,City,
Dr Care Pharmacy Coron Branch,"medical clinic in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a medical clinic
GPLUS Pharmacy Coron District Hospital,"medical clinic in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a medical clinic
Vet and Paws,"medical clinic in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a medical clinic
Coron Village Lodge,"medical clinic in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a medical clinic
Aqua Hostel Coron,"medical clinic in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a medical clinic
Ceka Optical Clinic,"medical clinic in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
lifetime fitness gym,"medical clinic in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a medical clinic
Home grown tattoo studio coron,"medical clinic in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a medical clinic
Yoga sa Isla,"medical clinic in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a medical clinic
Freediving Coron - Barracuda Club for Freedivers,"medical clinic in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a medical clinic
"Coron Ecolodge, Coron","medical clinic in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a medical clinic
Coron Laundry Hub,"medical clinic in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a medical clinic
Maco Coron Diving Center,"medical clinic in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a medical clinic
Meditown Pharmacy,"pharmacy in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Medcare Coron Pharmacy,"pharmacy in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Jhunbelle Drugstore - Main,"pharmacy in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Medcare Pharmacy Coron Branch,"pharmacy in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Coron Drugstore.1,"pharmacy in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Jhunbelle Drugstore - CDH Branch,"pharmacy in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Generika drugstore,"pharmacy in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Xionâ€™s Pharmacy,"pharmacy in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Farmacia CO,"pharmacy in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
The Filipino Healthcare,"pharmacy in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Lou Spa Massage Main,"massage spa in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Lou Spa Massage Branch 2,"massage spa in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Dayo Spa Coron,"massage spa in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Malipay Spa Coron,"massage spa in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Malipay Spa Coron branch 2,"massage spa in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
PEACEFUL HARU MASSAGE SPA,"massage spa in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
AKIE WELLNESS SPA,"massage spa in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
NATURE BLISS SPA,"massage spa in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Linaw Spa Coron,"massage spa in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Kalipay Spa,"massage spa in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
SPA PULO,"massage spa in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
MERYL MASSAGE,"massage spa in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
VKGV Spa,"massage spa in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Your Needs beauty & spa,"massage spa in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
PADAYON SPA,"massage spa in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Spa Nortia,"massage spa in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
BEA WELLNESS SPA,"massage spa in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Luntian Nature Spa,"massage spa in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Boss massage,"massage spa in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Serenity Salon & Spa,"massage spa in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Emedha nail & spa,"massage spa in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Relaks Spa æŒ‰æ‘©,"massage spa in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Flowers and Massage,"massage spa in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Jessica Beauty Salon and Spa,"massage spa in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Flexing Spartans Gym,"gym in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Dayon Fitness Hub,"gym in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
CORE-ON FITNESS,"gym in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Tribe Calamian fitness gym,"gym in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Coron Coliseum & Recreation Center,"gym in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Balisungan Jungle gym bar coron,"gym in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Om's cafe,"public wifi in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Coffee Kong,"public wifi in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Beanleaf,"public wifi in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Tagpo Capsule Hostel,"public wifi in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a café or a coffee shop 
Outpost Hostel,"public wifi in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a café or a coffee shop 
Epic Cafe Coron,"public wifi in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Cafe Socorro,"public wifi in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Busuanga Island Paradise,"public wifi in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a café or a coffee shop 
Cafe Basilio,"public wifi in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
MC Cafe & Bar,"public wifi in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
PHONE MART Phone and accessories,"sim card in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
GV Cellphone And Accesories,"sim card in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
3B Accessories Shop,"sim card in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Haytek Telecom,"sim card in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Raihana Cellphone Repair and accesoriess,"sim card in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Number 5 Mini Mart,"convenience store in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
JuanBoy Mini Mart,"convenience store in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Panda House Grocery,"convenience store in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Tropicasa Mini-Mart,"convenience store in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Coronthians Convenience Store,"convenience store in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
AJ Mini Mart,"convenience store in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Quiambao Store,"convenience store in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Sheryl Store,"convenience store in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
NB catapang store,"convenience store in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
3J STORE,"convenience store in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
NaThania Grocery,"convenience store in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
RRIBB General Merchandise,"convenience store in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Matcharap Minimart & Cafe,"convenience store in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
R. Cataylo Store,"convenience store in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Michaela's Store,"convenience store in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Benjie Store,"convenience store in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
727 Wholesale & Retail,"convenience store in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a store
Three A Sari-Sari Store,"convenience store in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
B.O.G.'s Coffee,"convenience store in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a store
Kierstine Bakeshop - Coron,"convenience store in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a store
Papa's Meat and Deli,"convenience store in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a store
Carlo's Cuisine,"convenience store in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a store
ECO Cashew & Souvenir,"convenience store in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a store
souvenir shop whole sale and retail (cheapest Price ),"convenience store in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a store
Laundry Express,"laundry in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
EASY LAUNDRY SERVICE 2.0,"laundry in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Squeaky Clean Laundromat,"laundry in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Unniwash Laundry Shop,"laundry in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Laundry Bliss Coron (Free pick-up and Delivery),"laundry in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Wakimâ€™s Laundry,"laundry in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Island's Laundry - Wash Dry Fold,"laundry in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
E'Z Laundry Service,"laundry in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Joanne's Laundry,"laundry in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
NEW OWNERSHIP OPPORTUNITY - CURRENTLY NOT OPERATIONAL - DO NOT VISIT - LAUNDRY KING CORON,"laundry in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not operating anymrore
Coron Municipal Hall,"public restroom in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not meant for public restroom
Maquinit Hot Spring,"public restroom in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not meant for public restroom
Pearl Vista de Coron Resort Hotel,"public restroom in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not meant for public restroom
Tropical Nomad Coron,"luggage storage in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated luggage storage
"Avisala Hostel Coron, Coron","luggage storage in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated luggage storage
"Coron, Palawan","luggage storage in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated luggage storage
Kaiz Hostel,"luggage storage in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated luggage storage
Q van transportation service,"luggage storage in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated luggage storage
Zuric Pension House,"luggage storage in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated luggage storage
Harbour Bliss Hotel,"luggage storage in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated luggage storage
Ruhe Suites Coron,"luggage storage in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated luggage storage
Hassanor rental shop,"luggage storage in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated luggage storage
Aquaventure Whitetip Dive Supply - Coron,"luggage storage in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated luggage storage
Freediving Coron,"luggage storage in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated luggage storage
Coron W Divers,"luggage storage in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated luggage storage
Ocean Dive Supply Philippines - Coron Branch,"luggage storage in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated luggage storage
Sanrok Sa Ring Ring Native Products & Souvenir Shop,"luggage storage in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated luggage storage
Big Dream Boatman - Island Hopping Expedition Tours - Coron and El Nido,"luggage storage in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated luggage storage
Twin Lagoon,"luggage storage in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated luggage storage
John Motor Rental Coron,"luggage storage in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated luggage storage
A Casa Portuguesa Coron Boutique Hostel,"luggage storage in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated luggage storage
Zenvea Hotel Coron,"luggage storage in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated luggage storage
Calamian Islands Travel and Tours,"luggage storage in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated luggage storage
Sunburn Suites Coron,"luggage storage in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated luggage storage
Coron Central Market,"luggage storage in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated luggage storage
Blue Waters Inn,"luggage storage in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated luggage storage
Tualla tourist van service,"transportation in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Coron Ferry Agency,"transportation in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Gie Cris Tourist Boat Rental,"transportation in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a public transportation
Lounard Private Tour,"transportation in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a public transportation
Coron Port,"transportation in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Boat rental mylen,"transportation in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a public transportation
Jopel Private Island Tours,"transportation in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a public transportation
JED'S MOTOR RENTAL,"scooter rental in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Luna Motor Rental,"scooter rental in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Chilchill motorcycle rental,"scooter rental in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
MAD MOTOR RENTAL,"scooter rental in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Mico Motorcycle Rental,"scooter rental in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
CAILEY MOTOR RENTAL,"scooter rental in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
3-Y MOTORCYCLE RENTAL,"scooter rental in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Sachi Motor Rental,"scooter rental in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Lems & Lyn Motorbike Rental,"scooter rental in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Pixiee Motorcycle Rental,"scooter rental in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
EAGLE'S EYE MOTOR RENTAL,"scooter rental in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Macarwash Moto Rental,"scooter rental in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Luffyâ€™s CAR & MOTOR BIKE RENTAL,"scooter rental in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
VIA Motor rental,"scooter rental in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Ethan Motor Rental,"scooter rental in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Grace Motorcycle Rental,"scooter rental in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
RLB MOTORCYCLE RENTAL,"scooter rental in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
JK Motorcycle Rental,"scooter rental in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Dadude's Car Rental,"scooter rental in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Darenz Motor Rental,"scooter rental in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Kz Travel and Tour/Ethan Motor Rental/Dugong Watching Information,"scooter rental in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Barracuda Tours Expeditions,"scooter rental in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated scooter rental companyy
Vape Zone Coron,"scooter rental in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated scooter rental companyy
Island Travel and Tours Coron,"scooter rental in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated scooter rental companyy
Eighty Eight Tourist Inn by Lagum Adventure,"scooter rental in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated scooter rental companyy
Ecocio jungle hostel,"scooter rental in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated scooter rental companyy
Screaming Gecko Hostel,"scooter rental in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a dedicated scooter rental companyy
Petron Gas Station,"gas station in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Primero Uno Gas Station,"gas station in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Petron Station,"gas station in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
NITRO GASOLINE STATION,"gas station in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
CALTEX CORON,"gas station in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Palawan Express,"gas station in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a gas station
Diguiboy,"gas station in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a gas station
MEGA OIL GAS STATION,"gas station in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Buntor Gas Station,"gas station in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Coron Tourists Information Center,"tourist information in Coron Busuanga, Palawan, Philippines",Coron Busuanga,correct
Coron Island Hopping,"tourist information in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a tourist information center
CORON ROADSIDE TRAVEL AND TOUR SERVICES,"tourist information in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a tourist information center
Experience Coron Travel and Tours,"tourist information in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a tourist information center
Islas Pilipinas' Travel & Tours,"tourist information in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a tourist information center
Nice in Paradise,"tourist information in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a tourist information center
Paradise View | Travel and Tours,"tourist information in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a tourist information center
Buhay Isla Ecotour - Coron,"tourist information in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a tourist information center
Wildlife Travel and Tours - Coron,"tourist information in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a tourist information center
Kajy Travel & Tours Coron Palawan,"tourist information in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a tourist information center
Tropical Paradise - Boat Expeditions & Adventure Tours,"tourist information in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a tourist information center
VIN'Z TRAVEL & TOURS,"tourist information in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a tourist information center
BLUE LAGOON ADVENTURE TRAVEL & TOURS,"tourist information in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a tourist information center
Island Hopping in the Philippines,"tourist information in Coron Busuanga, Palawan, Philippines",Coron Busuanga,not a tourist information center
