Title,City,Filed As,Verdict,Confidence,Real Type,Reason,Proposed Action,Raw Industry,Rating,Reviews,Address,Google Maps Link
Sun Island,Bucas Grande,tourist information,INCORRECT,high,tourist attraction,type 'tourist attraction' is not a tourist information,drop from 'tourist information'  (true type: tourist attraction — reclassify there if wanted),Tourist attraction,4.5,(2),"MXVH+37, Dapa, Surigao del Norte",https://www.google.com/maps/place/Sun+Island/data=!4m7!3m6!1s0x3303fd0d91d987c9:0x2567c447a0a11955!8m2!3d9.6933975!4d125.9776933!16s%2Fg%2F11l6c55v28!19sChIJyYfZkQ39AzMRVRmhoEfEZyU?authuser=0&hl=en&rclk=1
ISLA CASA,Bucas Grande,tourist information,INCORRECT,high,tourist attraction,type 'tourist attraction' is not a tourist information,drop from 'tourist information'  (true type: tourist attraction — reclassify there if wanted),Tourist attraction,5.0,(3),"HWGP+XC, Socorro, Surigao del Norte",https://www.google.com/maps/place/ISLA+CASA/data=!4m7!3m6!1s0x3303e10025e213bd:0xa3931047b06d0069!8m2!3d9.5774611!4d125.9360185!16s%2Fg%2F11lckxzzf7!19sChIJvRPiJQDhAzMRaQBtsEcQk6M?authuser=0&hl=en&rclk=1
Corregidor Shed,Bucas Grande,tourist information,INCORRECT,high,tourist attraction,type 'tourist attraction' is not a tourist information,drop from 'tourist information'  (true type: tourist attraction — reclassify there if wanted),Tourist attraction,5.0,(1),"M3VP+32, Dapa, Surigao del Norte",https://www.google.com/maps/place/Corregidor+Shed/data=!4m7!3m6!1s0x3303fb0013363d0d:0x9f802becc3978532!8m2!3d9.6926784!4d126.0850527!16s%2Fg%2F11y0tx5y0s!19sChIJDT02EwD7AzMRMoWXw-wrgJ8?authuser=0&hl=en&rclk=1
Cansodmon private beach resort,Bucas Grande,tourist information,INCORRECT,high,tourist attraction,type 'tourist attraction' is not a tourist information,drop from 'tourist information'  (true type: tourist attraction — reclassify there if wanted),Tourist attraction,5.0,(1),"P23G+7WP, Cansodmon, Sta felomina, Dapa, Surigao del Norte",https://www.google.com/maps/place/Cansodmon+private+beach+resort/data=!4m7!3m6!1s0x3303fbc366e0aba3:0x1033d3917be9d95d!8m2!3d9.7032179!4d126.0273182!16s%2Fg%2F11tk3wqqr0!19sChIJo6vgZsP7AzMRXdnpe5HTMxA?authuser=0&hl=en&rclk=1
"Santa Cruz, Socorro, Surigao del Norte",Bucas Grande,tourist information,INCORRECT,high,tourist attraction,type 'tourist attraction' is not a tourist information,drop from 'tourist information'  (true type: tourist attraction — reclassify there if wanted),Tourist attraction,3.7,(3),"Socorro, Surigao del Norte","https://www.google.com/maps/place/Santa+Cruz,+Socorro,+Surigao+del+Norte/data=!4m7!3m6!1s0x330159945b5b7c97:0x8cfea6df78464144!8m2!3d9.6467791!4d125.905399!16s%2Fg%2F11rb0rml7t!19sChIJl3xbW5RZATMRREFGeN-m_ow?authuser=0&hl=en&rclk=1"
Kayapaggan Beach,Bucas Grande,tourist information,INCORRECT,high,tourist attraction,type 'tourist attraction' is not a tourist information,drop from 'tourist information'  (true type: tourist attraction — reclassify there if wanted),Tourist attraction,5.0,(1),"M2RJ+J46, Kayapaggan, Dapa, Surigao del Norte",https://www.google.com/maps/place/Kayapaggan+Beach/data=!4m7!3m6!1s0x3303fba030fddeab:0xf74c681eb17f5edc!8m2!3d9.6915326!4d126.0302713!16s%2Fg%2F11lgwsl3hx!19sChIJq979MKD7AzMR3F5_sR5oTPc?authuser=0&hl=en&rclk=1
Tojoman Lagoon,Bucas Grande,tourist information,INCORRECT,high,water,type 'water' is not a tourist information,drop from 'tourist information'  (true type: water — reclassify there if wanted),Water,4.6,(5),"Socorro, Surigao del Norte",https://www.google.com/maps/place/Tojoman+Lagoon/data=!4m7!3m6!1s0x3303e1fd71cc23af:0x9d1e73a8a6b76e66!8m2!3d9.5936247!4d125.9160586!16s%2Fg%2F1q5hrhrb2!19sChIJryPMcf3hAzMRZm63pqhzHp0?authuser=0&hl=en&rclk=1
Metrodocs Medical Clinic,Cloud 9,medical clinic,CORRECT,high,urgent care center,type 'urgent care center' matches medical clinic,keep in 'medical clinic',Urgent care center,4.7,(189),"PUROK 5, General Luna, Surigao del Norte",https://www.google.com/maps/place/Metrodocs+Medical+Clinic/data=!4m7!3m6!1s0x3303f7d8f6d96085:0xa39ddc147fa69b4a!8m2!3d9.7861781!4d126.1558629!16s%2Fg%2F11f6lzps9k!19sChIJhWDZ9tj3AzMRSpumfxTcnaM?authuser=0&hl=en&rclk=1
Siargao Primary Care Facility,Cloud 9,medical clinic,CORRECT,high,medical diagnostic imaging center,type 'medical diagnostic imaging center' matches medical clinic,keep in 'medical clinic',Medical diagnostic imaging center,4.5,(22),"Back Road, Catangnan, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Siargao+Primary+Care+Facility/data=!4m7!3m6!1s0x3304090ff2bdbe75:0x75c6aab622afb7cb!8m2!3d9.8031127!4d126.1587849!16s%2Fg%2F11vyj7n48d!19sChIJdb698g8JBDMRy7evIraqxnU?authuser=0&hl=en&rclk=1
Dr. Boyd MD Medical,Cloud 9,medical clinic,CORRECT,high,medical clinic,type 'medical clinic' matches medical clinic,keep in 'medical clinic',Medical clinic,5.0,(31),"Suite 210, Pops District Cloud, 9 Tourism Rd, Catangnan, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Dr.+Boyd+MD+Medical/data=!4m7!3m6!1s0x3304091c396d9e13:0x3b45732d5ab2b8b3!8m2!3d9.81181!4d126.1632008!16s%2Fg%2F11wfg8mvy4!19sChIJE55tORwJBDMRs7iyWi1zRTs?authuser=0&hl=en&rclk=1
The Raya Clinic Siargao,Cloud 9,medical clinic,CORRECT,high,hospital,type 'hospital' matches medical clinic,keep in 'medical clinic',Hospital,4.4,(70),"National Road, Poblacion IV (Purok IV), General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/The+Raya+Clinic+Siargao/data=!4m7!3m6!1s0x3303f7d18c950f25:0x99101f30a68c688c!8m2!3d9.7850943!4d126.1558999!16s%2Fg%2F11y44qh55t!19sChIJJQ-VjNH3AzMRjGiMpjAfEJk?authuser=0&hl=en&rclk=1
Island Doctors PH,Cloud 9,medical clinic,CORRECT,high,medical clinic,type 'medical clinic' matches medical clinic,keep in 'medical clinic',Medical clinic,4.8,(15),"Q5M4+XFF, GMV Apartment Building, National Highway, Dapa - General Luna Rd, Purok 5, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Island+Doctors+PH/data=!4m7!3m6!1s0x3303f78996ec5619:0xe90b8a1f26db4559!8m2!3d9.7848744!4d126.156205!16s%2Fg%2F11hzwfshq6!19sChIJGVbslon3AzMRWUXbJh-KC-k?authuser=0&hl=en&rclk=1
Bright Medical Clinic Inc. (BMCI),Cloud 9,medical clinic,CORRECT,high,medical clinic,type 'medical clinic' matches medical clinic,keep in 'medical clinic',Medical clinic,4.0,(1),"BDO, 234 ESPIRIDION POBLACION 4, Siargao Island, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Bright+Medical+Clinic+Inc.+%28BMCI%29/data=!4m7!3m6!1s0x2cd373fbe517ee33:0xc2a16f32d105ead!8m2!3d9.7855575!4d126.1556845!16s%2Fg%2F11s9y52drr!19sChIJM-4X5ftz0ywRrV4QLfMWKgw?authuser=0&hl=en&rclk=1
Eyog Dental Clinic - Siargao,Cloud 9,medical clinic,CORRECT,high,emergency dental service,type 'emergency dental service' matches medical clinic,keep in 'medical clinic',Emergency dental service,4.7,(51),"Plaza Sumabat Purok I, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Eyog+Dental+Clinic+-+Siargao/data=!4m7!3m6!1s0x3303f70a484cfecd:0x4d1157eb64f3f71!8m2!3d9.7819342!4d126.1562151!16s%2Fg%2F11nsvg5y0n!19sChIJzf5MSAr3AzMRcT9Ptn4V0QQ?authuser=0&hl=en&rclk=1
Siargao Pharmacy,Cloud 9,pharmacy,CORRECT,high,pharmacy,type 'pharmacy' matches pharmacy,keep in 'pharmacy',Pharmacy,4.1,(18),"Siargao Island, Poblacion 2, Beside Don Macchiatos, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Siargao+Pharmacy/data=!4m7!3m6!1s0x3303f7659a5c8c35:0x341698fa1e81c31d!8m2!3d9.7837235!4d126.1563617!16s%2Fg%2F11trq4zw97!19sChIJNYxcmmX3AzMRHcOBHvqYFjQ?authuser=0&hl=en&rclk=1
MOM Pharmacy,Cloud 9,pharmacy,CORRECT,high,pharmacy,type 'pharmacy' matches pharmacy,keep in 'pharmacy',Pharmacy,4.2,(32),"R535+7G9, Tourism Rd, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/MOM+Pharmacy/data=!4m7!3m6!1s0x3304098883ed5a75:0xf704178255648930!8m2!3d9.8031478!4d126.1588149!16s%2Fg%2F11trx55026!19sChIJdVrtg4gJBDMRMIlkVYIXBPc?authuser=0&hl=en&rclk=1
EMERALD SPA SIARGAO,Cloud 9,massage spa,CORRECT,high,massage spa,type 'massage spa' matches massage spa,keep in 'massage spa',Massage spa,4.7,(77),"Siargao Island Located at Emerald House Village, Emerald SPA, Tourism rd, Siargao 💚💆, Catangnan, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/EMERALD+SPA+SIARGAO/data=!4m7!3m6!1s0x3304091c0983c5b1:0x4a5b34ad3dc31a4!8m2!3d9.8106997!4d126.164722!16s%2Fg%2F11vm9mfn15!19sChIJscWDCRwJBDMRpDHc00qzpQQ?authuser=0&hl=en&rclk=1
CLOUD MASSAGE AND SPA,Cloud 9,massage spa,CORRECT,high,massage spa,type 'massage spa' matches massage spa,keep in 'massage spa',Massage spa,5.0,(43),"Surfing Spot, Cloud 9 Tower, Brgy.Catangnan Pops District Building 2nd Floor, Front Of, Tourism Rd, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/CLOUD+MASSAGE+AND+SPA/data=!4m7!3m6!1s0x33040978f8768175:0x10339c3390c3e708!8m2!3d9.8118691!4d126.163156!16s%2Fg%2F11vztw0jps!19sChIJdYF2-HgJBDMRCOfDkDOcMxA?authuser=0&hl=en&rclk=1
Mantra Home Service Massage - Siargao,Cloud 9,massage spa,CORRECT,high,massage spa,type 'massage spa' matches massage spa,keep in 'massage spa',Massage spa,4.8,(96),"Old Tourism Rd, Catangan, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Mantra+Home+Service+Massage+-+Siargao/data=!4m7!3m6!1s0x2bc0ac4c928239e1:0xbaac250705184fc4!8m2!3d9.8061752!4d126.160216!16s%2Fg%2F11wh80rh6q!19sChIJ4TmCkkyswCsRxE8YBQclrLo?authuser=0&hl=en&rclk=1
Sparaiso Siargao Massage and Spa,Cloud 9,massage spa,CORRECT,high,massage spa,type 'massage spa' matches massage spa,keep in 'massage spa',Massage spa,4.8,(74),"Pang-Pang Back Road, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Sparaiso+Siargao+Massage+and+Spa/data=!4m7!3m6!1s0x3303f7205e07bb41:0xdec7531632f3fa4a!8m2!3d9.7968003!4d126.1572915!16s%2Fg%2F11kqxy76zz!19sChIJQbsHXiD3AzMRSvrzMhZTx94?authuser=0&hl=en&rclk=1
SIARGAO MASSAGE SPA,Cloud 9,massage spa,CORRECT,high,massage spa,type 'massage spa' matches massage spa,keep in 'massage spa',Massage spa,5.0,(5),"purok 3 Tourism Rd, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/SIARGAO+MASSAGE+SPA/data=!4m7!3m6!1s0x3303f7ae725544ab:0x989079eb5449925b!8m2!3d9.7852276!4d126.1604048!16s%2Fg%2F11mrn_gkqx!19sChIJq0RVcq73AzMRW5JJVOt5kJg?authuser=0&hl=en&rclk=1
LAWOD MASSAGE and SPA,Cloud 9,massage spa,CORRECT,high,spa,type 'spa' matches massage spa,keep in 'massage spa',Spa,4.3,(149),"Poblacion V (Purok V), General Luna, Surigao del Norte",https://www.google.com/maps/place/LAWOD+MASSAGE+and+SPA/data=!4m7!3m6!1s0x3303f61a68a48e1b:0xb6821536b03ce8d5!8m2!3d9.7961096!4d126.1602446!16s%2Fg%2F11hbb_bwwf!19sChIJG46kaBr2AzMR1eg8sDYVgrY?authuser=0&hl=en&rclk=1
Perisseia Spa Siargao,Cloud 9,massage spa,CORRECT,high,massage spa,type 'massage spa' matches massage spa,keep in 'massage spa',Massage spa,4.9,(51),"Purok 3, In front of Watsons, 3 Tourism Rd, Poblacion, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Perisseia+Spa+Siargao/data=!4m7!3m6!1s0x3303f76fcf5081b5:0xf08f626ab405b0e!8m2!3d9.7874416!4d126.1627215!16s%2Fg%2F11yqv2k6vx!19sChIJtYFQz2_3AzMRDltAqyb2CA8?authuser=0&hl=en&rclk=1
Hands of Gold Massage Siargao,Cloud 9,massage spa,CORRECT,high,massage spa,type 'massage spa' matches massage spa,keep in 'massage spa',Massage spa,4.9,(433),"Poblacion 2, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Hands+of+Gold+Massage+Siargao/data=!4m7!3m6!1s0x3303f7c9dc7230d3:0xba2cf0ea16a81e9b!8m2!3d9.7827261!4d126.1539944!16s%2Fg%2F11h4pcfhfl!19sChIJ0zBy3Mn3AzMRmx6oFurwLLo?authuser=0&hl=en&rclk=1
Filosopía Wellness,Cloud 9,massage spa,CORRECT,high,spa,type 'spa' matches massage spa,keep in 'massage spa',Spa,4.8,(139),"3143, General Luna, 8400 Surigao del Norte",https://www.google.com/maps/place/Filosop%C3%ADa+Wellness/data=!4m7!3m6!1s0x3304090ae799b89f:0x870322d6d826b255!8m2!3d9.8061726!4d126.1602151!16s%2Fg%2F11wj0jcy7c!19sChIJn7iZ5woJBDMRVbIm2NYiA4c?authuser=0&hl=en&rclk=1
Staycation Massage @Home Spa,Cloud 9,massage spa,CORRECT,high,massage spa,type 'massage spa' matches massage spa,keep in 'massage spa',Massage spa,4.8,(165),"Tourism Rd, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Staycation+Massage+@Home+Spa/data=!4m7!3m6!1s0x3303f7123ba23ed9:0x9e485b38c7d53955!8m2!3d9.7896113!4d126.1617968!16s%2Fg%2F11q8jvzsjm!19sChIJ2T6iOxL3AzMRVTnVxzhbSJ4?authuser=0&hl=en&rclk=1
Isla Natura Spa,Cloud 9,massage spa,CORRECT,high,massage spa,type 'massage spa' matches massage spa,keep in 'massage spa',Massage spa,4.9,(291),"Siargao Island, Purok 3 Tourism Rd, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/Isla+Natura+Spa/data=!4m7!3m6!1s0x3303f79676fca98b:0xf39d906584238353!8m2!3d9.7844567!4d126.1577374!16s%2Fg%2F11vkby7j85!19sChIJi6n8dpb3AzMRU4MjhGWQnfM?authuser=0&hl=en&rclk=1
BAYUD SPA,Cloud 9,massage spa,CORRECT,high,massage spa,type 'massage spa' matches massage spa,keep in 'massage spa',Massage spa,4.7,(400),"Poblacion 5, General Luna, 8419 Surigao del Norte",https://www.google.com/maps/place/BAYUD+SPA/data=!4m7!3m6!1s0x3303f7f37696b215:0xb8a73ceb82b5c37e!8m2!3d9.7941088!4d126.1608703!16s%2Fg%2F11vbrqk35l!19sChIJFbKWdvP3AzMRfsO1gus8p7g?authuser=0&hl=en&rclk=1
